2,1,430
3,2,434
4,3,438
5,4,442
6,5,446
7,6,450
8,7,454
9,8,458
10,9,462
11,10,466
12,11,470
13,12,474
14,13,478
15,14,482
16,15,486
17,16,490
18,17,494
19,18,498
20,19,502
21,20,506
22,21,510
23,22,514
24,23,518
25,24,522
26,25,526
27,26,530
28,27,534
29,28,538
30,29,542
31,30,546
32,31,550
33,32,554
34,33,558
35,34,562
36,35,566
37,36,570
38,37,574
39,38,578
40,39,582
41,40,586
42,41,590
43,42,594
44,43,598
45,44,602
46,45,606
47,46,610
48,47,614
49,48,618
50,49,622
51,50,626
52,51,630
53,52,634
54,53,638
55,54,642
56,55,646
57,56,650
58,57,654
59,58,658
60,59,662
61,60,666
62,61,670
63,62,674
64,63,678
65,64,682
66,65,686
67,66,690
68,67,694
69,68,698
70,69,702
71,70,706
72,71,710
73,72,714
74,73,718
75,74,722
76,75,726
77,76,730
78,77,734
79,78,738
80,79,742
81,80,746
82,81,750
83,82,754
84,83,758
85,84,762
86,85,766
87,86,770
88,87,774
89,88,778
90,89,782
91,90,786
92,91,790
93,92,794
94,93,798
95,94,802
96,95,806
97,96,810
98,97,814
99,98,818
100,99,822
101,100,826
102,101,830
103,102,834
104,103,838
